"state","State_name","Population","date","category","count","dataQualityGrade"
"NV","Nevada ",3080156,2020-05-27,"posNeg",128559,"A+"
"NY","New York ",19453561,2020-05-27,"posNeg",1811544,"A"
"OH","Ohio *",11689100,2020-05-27,"posNeg",349725,"B"
"OK","Oklahoma ",3956971,2020-05-27,"posNeg",178638,"A+"
"OR","Oregon ",4217737,2020-05-27,"posNeg",116992,"A+"
"PA","Pennsylvania ",12801989,2020-05-27,"posNeg",419407,"A+"
"PR","Puerto Rico *",2933408,2020-05-27,"posNeg",3397,"B"
"RI","Rhode Island ",1059361,2020-05-27,"posNeg",138383,"A+"
"SC","South Carolina ",5148714,2020-05-27,"posNeg",175683,"A"
"SD","South Dakota *",884659,2020-05-27,"posNeg",38006,"B"
"TN","Tennessee *",6829174,2020-05-27,"posNeg",409630,"B"
"TX","Texas *",28995881,2020-05-27,"posNeg",855674,"B"
"UT","Utah *",3205958,2020-05-27,"posNeg",200626,"B"
"VA","Virginia ",8535519,2020-05-27,"posNeg",277047,"A+"
"VT","Vermont *",623989,2020-05-27,"posNeg",30999,"B"
"WA","Washington *",7614893,2020-05-27,"posNeg",332791,"B"
"WI","Wisconsin ",5822434,2020-05-27,"posNeg",227067,"A+"
"WV","West Virginia *",1792147,2020-05-27,"posNeg",88461,"B"
"AK","Alaska ",731545,2020-05-26,"posNeg",44964,"A"
"AL","Alabama *",4903185,2020-05-26,"posNeg",193759,"B"
"AR","Arkansas ",3017804,2020-05-26,"posNeg",111773,"A"
"AZ","Arizona ",7278717,2020-05-26,"posNeg",190731,"A+"
"CA","California *",39512223,2020-05-26,"posNeg",1696396,"B"
"CO","Colorado ",5758736,2020-05-26,"posNeg",156011,"A"
"CT","Connecticut *",3565287,2020-05-26,"posNeg",225362,"B"
"DC","District of Columbia ",705749,2020-05-26,"posNeg",42055,"A+"
"DE","Delaware ",973764,2020-05-26,"posNeg",54914,"A"
"FL","Florida ",21477737,2020-05-26,"posNeg",923224,"A"
"GA","Georgia ",10617423,2020-05-26,"posNeg",514945,"A"
"GU","Guam *",167772,2020-05-26,"posNeg",5684,"B"
"IA","Iowa ",3155070,2020-05-26,"posNeg",135004,"A+"
"ID","Idaho ",1787065,2020-05-26,"posNeg",41406,"A"
"IL","Illinois ",16980127,2020-05-26,"posNeg",786794,"A"
"IN","Indiana ",6732219,2020-05-26,"posNeg",230749,"A+"
"KS","Kansas ",2913314,2020-05-26,"posNeg",81399,"A"
"KY","Kentucky ",4467673,2020-05-26,"posNeg",169856,"A"
"LA","Louisiana *",4648794,2020-05-26,"posNeg",341026,"B"
"MA","Massachusetts ",6892503,2020-05-26,"posNeg",545481,"A+"
"MD","Maryland *",6045680,2020-05-26,"posNeg",254487,"B"
"ME","Maine *",1344212,2020-05-26,"posNeg",37559,"B"
"MI","Michigan ",9986857,2020-05-26,"posNeg",484279,"A+"
"MN","Minnesota ",5639632,2020-05-26,"posNeg",209898,"A"
"MO","Missouri *",6840439,2020-05-26,"posNeg",160298,"B"
"MS","Mississippi ",2976149,2020-05-26,"posNeg",147819,"A"
"NC","North Carolina ",10488084,2020-05-26,"posNeg",352331,"A"
"NH","New Hampshire *",1359711,2020-05-26,"posNeg",63039,"B"
"NJ","New Jersey ",8882190,2020-05-26,"posNeg",635892,"A+"
"NV","Nevada ",3080156,2020-05-26,"posNeg",123367,"A+"
"NY","New York ",19453561,2020-05-26,"posNeg",1774128,"A"
"OH","Ohio *",11689100,2020-05-26,"posNeg",339400,"B"
"OK","Oklahoma ",3956971,2020-05-26,"posNeg",159941,"A+"
"OR","Oregon ",4217737,2020-05-26,"posNeg",115538,"A+"
"PA","Pennsylvania ",12801989,2020-05-26,"posNeg",408472,"A+"
"PR","Puerto Rico *",2933408,2020-05-26,"posNeg",3324,"B"
"RI","Rhode Island ",1059361,2020-05-26,"posNeg",135363,"A+"
"SC","South Carolina ",5148714,2020-05-26,"posNeg",172734,"A"
"SD","South Dakota *",884659,2020-05-26,"posNeg",37038,"B"
"TN","Tennessee *",6829174,2020-05-26,"posNeg",403504,"B"
"TX","Texas *",28995881,2020-05-26,"posNeg",821233,"B"
"UT","Utah *",3205958,2020-05-26,"posNeg",198592,"B"
"VA","Virginia ",8535519,2020-05-26,"posNeg",267181,"A+"
"VT","Vermont *",623989,2020-05-26,"posNeg",30423,"B"
"WA","Washington *",7614893,2020-05-26,"posNeg",330598,"B"
"WI","Wisconsin ",5822434,2020-05-26,"posNeg",216737,"A+"
"WV","West Virginia *",1792147,2020-05-26,"posNeg",87811,"B"
"AK","Alaska ",731545,2020-05-25,"posNeg",44472,"A"
"AL","Alabama *",4903185,2020-05-25,"posNeg",190315,"B"
"AR","Arkansas ",3017804,2020-05-25,"posNeg",111622,"A"
"AZ","Arizona ",7278717,2020-05-25,"posNeg",187782,"A+"
"CA","California *",39512223,2020-05-25,"posNeg",1644102,"B"
"CO","Colorado ",5758736,2020-05-25,"posNeg",150308,"A"
"CT","Connecticut *",3565287,2020-05-25,"posNeg",221726,"B"
"DC","District of Columbia ",705749,2020-05-25,"posNeg",40803,"A+"
"DE","Delaware ",973764,2020-05-25,"posNeg",53896,"A"
"FL","Florida ",21477737,2020-05-25,"posNeg",908235,"A"
"GA","Georgia ",10617423,2020-05-25,"posNeg",513545,"A"
"GU","Guam *",167772,2020-05-25,"posNeg",5569,"B"
"IA","Iowa ",3155070,2020-05-25,"posNeg",132715,"A+"
"ID","Idaho ",1787065,2020-05-25,"posNeg",41406,"A"
"IL","Illinois ",16980127,2020-05-25,"posNeg",769564,"A"
"IN","Indiana ",6732219,2020-05-25,"posNeg",226251,"A+"
"KS","Kansas ",2913314,2020-05-25,"posNeg",81399,"A"
"KY","Kentucky ",4467673,2020-05-25,"posNeg",169856,"A"
"LA","Louisiana *",4648794,2020-05-25,"posNeg",330898,"B"
"MA","Massachusetts ",6892503,2020-05-25,"posNeg",540561,"A+"
"MD","Maryland *",6045680,2020-05-25,"posNeg",249577,"B"
"ME","Maine *",1344212,2020-05-25,"posNeg",37524,"B"
"MI","Michigan ",9986857,2020-05-25,"posNeg",472860,"A+"
